id,games,assists,steals,blocks,personal_fouls,ofensive_rebounds,defensive_rebounds,points
3642,510.0,451.8,293.00000000000006,130.79999999999998,918.2,281.9,712.6,1953.3999999999999
3643,578.0,631.1999999999999,488.7999999999999,197.00000000000003,1029.5,206.20000000000002,1388.0,6098.299999999999
3644,42.0,21.0,8.4,12.6,71.39999999999999,42.0,75.60000000000001,79.8
3645,223.0,239.3,111.5,19.700000000000003,318.5,81.0,188.60000000000002,930.8999999999999
3646,180.0,95.60000000000001,0.0,0.0,463.9,0.0,0.0,1003.2
3647,100.0,139.2,0.0,0.0,154.8,0.0,0.0,544.4
3648,813.0,1653.0,693.5999999999999,1149.6000000000001,2723.0,2583.7000000000003,4935.099999999999,11659.199999999999
3649,196.0,69.0,0.0,0.0,216.9,0.0,0.0,699.8
3650,7.0,0.7000000000000001,4.2,0.0,0.7000000000000001,0.7000000000000001,0.0,11.9
3651,590.0,940.3,201.29999999999998,190.0,1354.7,913.8000000000001,1881.5,6869.000000000001
3652,32.0,5.6000000000000005,1.4000000000000001,1.4000000000000001,19.599999999999998,18.6,20.1,64.8
3653,2.0,1.0,0.0,0.0,1.0,0.0,1.0,3.0
3654,82.0,47.0,29.0,26.8,128.4,99.60000000000001,173.6,454.79999999999995
3655,326.0,1510.4,334.70000000000005,76.7,626.3,342.5,1044.9,6133.7
3656,597.0,543.3,282.40000000000003,103.0,989.9000000000001,623.8,994.9000000000001,3467.3
3657,2.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0
3658,42.0,84.0,0.0,0.0,71.39999999999999,0.0,0.0,197.4
3659,215.0,132.0,100.5,156.2,535.9,475.1,648.5000000000001,1015.3000000000001
3660,282.0,680.4,213.3,50.099999999999994,341.7,161.0,845.5,2244.2
3661,506.0,3886.5,966.1,51.7,1332.9,333.0,1816.5000000000002,5631.3
3662,3.0,0.8999999999999999,0.0,0.0,0.8999999999999999,0.0,0.8999999999999999,0.0
3663,239.0,517.3,70.4,0.0,247.4,49.300000000000004,138.89999999999998,818.0
3664,58.0,34.8,17.4,5.800000000000001,92.80000000000001,69.6,98.6,185.60000000000002
3665,146.0,82.30000000000001,30.400000000000002,6.800000000000001,146.1,17.900000000000002,75.3,483.29999999999995
3666,154.0,85.5,0.0,0.0,250.7,0.0,0.0,962.4
3667,414.0,251.20000000000002,196.3,190.8,938.5,726.1,907.4,712.4
3668,110.0,317.40000000000003,57.39999999999999,0.0,188.10000000000002,28.1,124.5,1016.0
3669,133.0,63.9,4.2,4.2,223.7,134.5,242.2,562.3
3670,114.0,45.89999999999999,0.0,0.0,163.1,0.0,0.0,393.6
3671,332.0,999.9000000000001,241.9,269.2,1216.4,1079.1999999999998,2295.3,5757.5
3672,531.0,742.6999999999999,13.0,10.4,1518.3999999999999,44.199999999999996,59.8,8308.300000000001
3673,95.0,68.8,0.0,0.0,133.2,0.0,0.0,268.7
